"","YEAR","type","T_yravg"
"1",1894,"maxtemp",53.7424657534247
"2",1894,"mintemp",35.9671232876712
"3",1895,"maxtemp",53.2876712328767
"4",1895,"mintemp",33.9945054945055
"5",1896,"maxtemp",52.7540983606557
"6",1896,"mintemp",35.1256830601093
"7",1897,"maxtemp",53.558904109589
"8",1897,"mintemp",33.9698630136986
"9",1898,"maxtemp",56.2547945205479
"10",1898,"mintemp",34.558904109589
"11",1899,"maxtemp",55.4712328767123
"12",1899,"mintemp",32.4246575342466
"13",1900,"maxtemp",55.8416666666667
"14",1900,"mintemp",32.1041095890411
"15",1901,"maxtemp",54.8383561643836
"16",1901,"mintemp",33.3808219178082
"17",1902,"maxtemp",54.9095890410959
"18",1902,"mintemp",32.6465753424658
"19",1903,"maxtemp",56.4630136986301
"20",1903,"mintemp",32.1561643835616
"21",1904,"maxtemp",52.4207650273224
"22",1904,"mintemp",29.1530054644809
"23",1905,"maxtemp",54.641095890411
"24",1905,"mintemp",30.9342465753425
"25",1906,"maxtemp",56.2931506849315
"26",1906,"mintemp",31.9254143646409
"27",1907,"maxtemp",53.9807692307692
"28",1907,"mintemp",31.0109589041096
"29",1908,"maxtemp",57.207650273224
"30",1908,"mintemp",31.8191780821918
"31",1909,"maxtemp",55.2857142857143
"32",1909,"mintemp",32.2396694214876
"33",1910,"maxtemp",55.9561643835616
"34",1910,"mintemp",32.3873626373626
"35",1911,"maxtemp",56.3835616438356
"36",1911,"mintemp",31.7888888888889
"37",1912,"maxtemp",54.7513661202186
"38",1912,"mintemp",31.3606557377049
"39",1913,"maxtemp",58.1890410958904
"40",1913,"mintemp",34.6611570247934
"41",1914,"maxtemp",54.6547945205479
"42",1914,"mintemp",30.7287671232877
"43",1915,"maxtemp",56.213698630137
"44",1915,"mintemp",34.8438356164384
"45",1916,"maxtemp",54.8087431693989
"46",1916,"mintemp",32.5956284153005
"47",1917,"maxtemp",52.2191780821918
"48",1917,"mintemp",30.8054794520548
"49",1918,"maxtemp",54.9479452054794
"50",1918,"mintemp",32.1506849315069
"51",1919,"maxtemp",55.413698630137
"52",1919,"mintemp",33.972602739726
"53",1920,"maxtemp",54.4043715846995
"54",1920,"mintemp",32.603825136612
"55",1921,"maxtemp",58.186301369863
"56",1921,"mintemp",34.6356164383562
"57",1922,"maxtemp",55.372602739726
"58",1922,"mintemp",33.1232876712329
"59",1923,"maxtemp",54.9068493150685
"60",1923,"mintemp",31.1260273972603
"61",1924,"maxtemp",54.9808743169399
"62",1924,"mintemp",31.372602739726
"63",1925,"maxtemp",55.172602739726
"64",1925,"mintemp",32.8547945205479
"65",1926,"maxtemp",52.5424657534247
"66",1926,"mintemp",31.013698630137
"67",1927,"maxtemp",56
"68",1927,"mintemp",34.1397260273973
"69",1928,"maxtemp",54.9644808743169
"70",1928,"mintemp",34.7185792349727
"71",1929,"maxtemp",54.9258241758242
"72",1929,"mintemp",33.4972527472527
"73",1930,"maxtemp",56.6109589041096
"74",1930,"mintemp",34.441095890411
"75",1931,"maxtemp",56.9479452054794
"76",1931,"mintemp",35.5835616438356
"77",1932,"maxtemp",56.275956284153
"78",1932,"mintemp",34.8224043715847
"79",1933,"maxtemp",55.75
"80",1933,"mintemp",34.4340659340659
"81",1934,"maxtemp",54.8489010989011
"82",1934,"mintemp",32.532967032967
"83",1935,"maxtemp",54.2197802197802
"84",1935,"mintemp",32.9287671232877
"85",1936,"maxtemp",55.0655737704918
"86",1936,"mintemp",33.5245901639344
"87",1937,"maxtemp",56.1123287671233
"88",1937,"mintemp",35.1260273972603
"89",1938,"maxtemp",56.5616438356164
"90",1938,"mintemp",34.8739726027397
"91",1939,"maxtemp",55.1178082191781
"92",1939,"mintemp",32.6219178082192
"93",1940,"maxtemp",53.3606557377049
"94",1940,"mintemp",32.0573770491803
"95",1941,"maxtemp",56.6602739726027
"96",1941,"mintemp",33.0630136986301
"97",1942,"maxtemp",55.786703601108
"98",1942,"mintemp",34.2111111111111
"99",1943,"maxtemp",53.4109589041096
"100",1943,"mintemp",31.5342465753425
"101",1944,"maxtemp",55.6174863387978
"102",1944,"mintemp",32.1584699453552
"103",1945,"maxtemp",55.9667590027701
"104",1945,"mintemp",33.1191135734072
"105",1946,"maxtemp",57.7396121883656
"106",1946,"mintemp",33.0360110803324
"107",1947,"maxtemp",56.5989010989011
"108",1947,"mintemp",32.3516483516484
"109",1948,"maxtemp",56.6448087431694
"110",1948,"mintemp",31.7131147540984
"111",1949,"maxtemp",58.3068493150685
"112",1949,"mintemp",36.3178082191781
"113",1950,"maxtemp",54.5890410958904
"114",1950,"mintemp",34.013698630137
"115",1951,"maxtemp",55.6246575342466
"116",1951,"mintemp",34.9315068493151
"117",1952,"maxtemp",56.4808743169399
"118",1952,"mintemp",35.1830601092896
"119",1953,"maxtemp",58.8598901098901
"120",1953,"mintemp",36.4684931506849
"121",1954,"maxtemp",54.9123287671233
"122",1954,"mintemp",34.8027397260274
"123",1955,"maxtemp",55.5972602739726
"124",1955,"mintemp",35.0054794520548
"125",1956,"maxtemp",54.7841530054645
"126",1956,"mintemp",33.2213114754098
"127",1957,"maxtemp",57.5671232876712
"128",1957,"mintemp",34.5808219178082
"129",1958,"maxtemp",54.1397260273973
"130",1958,"mintemp",33.2657534246575
"131",1959,"maxtemp",56.7945205479452
"132",1959,"mintemp",35.1534246575342
"133",1960,"maxtemp",55.8524590163934
"134",1960,"mintemp",34.4153005464481
"135",1961,"maxtemp",56.1424657534247
"136",1961,"mintemp",34.4438356164384
"137",1962,"maxtemp",54.6684931506849
"138",1962,"mintemp",32.9095890410959
"139",1963,"maxtemp",56.1232876712329
"140",1963,"mintemp",32.6849315068493
"141",1964,"maxtemp",56.103825136612
"142",1964,"mintemp",33.4453551912568
"143",1965,"maxtemp",56.8982035928144
"144",1965,"mintemp",34.2844311377246
"145",1966,"maxtemp",55.8849315068493
"146",1966,"mintemp",33.5342465753425
"147",1967,"maxtemp",54.7162534435262
"148",1967,"mintemp",33.3653846153846
"149",1968,"maxtemp",54.9508196721311
"150",1968,"mintemp",33.0054644808743
"151",1969,"maxtemp",55.6301369863014
"152",1969,"mintemp",34.9123287671233
"153",1970,"maxtemp",55.5643835616438
"154",1970,"mintemp",33.9260273972603
"155",1971,"maxtemp",55.6565934065934
"156",1971,"mintemp",33.5840220385675
"157",1972,"maxtemp",53.8360655737705
"158",1972,"mintemp",33.5327868852459
"159",1973,"maxtemp",56.972602739726
